MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,587.97,47.45,39.0,2025-01-05,2026-01-11,10.999999999999996,10.03
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1021.57,698.85,97.8,2017-01-03,2019-01-03,0.0,-369.92
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1192.33,0.0,2.0,2026-01-02,2028-01-08,2.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHIDCL,6808.69,3215.86,66.05,2020-01-10,2026-01-09,0.0,1.5900000000001455
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1679.75,97.67,34.5,2026-01-01,2028-01-01,-5.950000000000003,-44.86
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1081.51,368.69,40.25,2024-01-03,2026-01-03,0.0,12.519999999999982
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,163.51,0.0,83.19,2022-01-03,2026-01-02,2.6200000000000045,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,154.89,14.8,23.0,2024-01-11,2026-01-05,0.0,-0.33
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],909.86,33.14,9.85,2025-01-12,2027-01-12,2.669999999999999,0.5
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1012.57,569.75,81.06,2022-01-10,2024-01-10,0.0,1.6200000000000043
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,MORTH,472.23,0.0,60.0,2024-01-08,2027-01-02,-5.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TRIPURA,NHIDCL,195.95,86.33,70.13000000000001,2023-01-05,2024-01-11,0.3500000000000085,0.0699999999999931
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,1060.16,0.0,0.0,2026-01-01,2028-01-01,-4.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],840.51,573.89,99.32,2022-01-03,2024-01-03,0.0,24.33000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,427.29,178.43,93.0,2023-01-06,2024-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,LADAKH,NHIDCL,404.89,321.72,75.38,2021-01-07,2023-01-01,0.0,0.4400000000000545
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1101.76,641.61,99.7,2022-01-04,2024-01-04,0.0,-4.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,172.09,0.0,32.0,2024-01-10,2026-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1062.76,93.27,16.33,2025-01-04,2027-01-04,1.4799999999999986,0.1899999999999977
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,423.18,4.11,0.0,2023-01-08,2025-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1452.43,210.48,35.6,2025-01-06,2027-01-06,3.030000000000001,3.4899999999999807
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,343.54,83.27,65.0,2024-01-02,2025-01-08,0.0,7.560000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,174.34,63.55,100.0,2023-01-02,2024-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2156.22,1668.28,99.14,2021-01-12,2024-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1244.43,94.67,22.24,2025-01-05,2027-01-05,1.2899999999999991,13.950000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,899.45,191.59,99.88,2019-01-10,2023-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,846.82,0.0,85.28999999999999,2024-01-03,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,330.8,0.0,93.04,2023-01-11,2025-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1199.58,1147.24,91.14,2020-01-02,2023-01-08,1.9099999999999968,26.37000000000012
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,355.79,0.0,43.13,2024-01-01,2026-01-01,2.25,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],646.27,168.56,63.79,2023-01-05,2024-01-11,0.0,2.2299999999999898
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,211.7,237.43,91.76,2021-01-07,2023-01-01,0.8000000000000114,9.480000000000018
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, JHARKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1954.77,1862.87,85.96000000000001,2020-01-11,2024-01-10,0.7900000000000063,42.23999999999978
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,904.04,538.33,85.2,2023-01-08,2025-01-08,0.0,18.280000000000086
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,268.98,0.0,56.16,2024-01-12,2026-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (UTTAR PRADESH, UTTARAKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1051.73,665.1,99.1,2024-01-01,2026-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, JHARKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1125.78,609.94,91.3,2022-01-03,2024-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,379.39,302.13,91.31,2020-01-10,2022-01-04,0.0,0.2400000000000091
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,228.97,33.77,48.16,2025-01-02,2026-01-08,-0.1500000000000056,-80.85
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1565.47,49.08,6.550000000000001,2026-01-01,2028-01-01,-2.4499999999999997,-6.160000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],609.63,114.77,96.52,2018-01-12,2021-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,256.04,0.0,97.12,2020-01-07,2022-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,860.37,545.83,87.5,2023-01-08,2025-01-08,0.0,17.370000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1444.94,652.67,86.44,2023-01-12,2025-01-12,0.0,3.75
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,222.77,0.0,88.85,2020-01-07,2022-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,164.89,125.76,23.56,2024-01-12,2026-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JHARKHAND, WEST BENGAL)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],782.18,44.31,4.44,2026-01-02,2028-01-01,-1.1999999999999993,-158.38
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,890.33,588.02,90.5,2023-01-08,2025-01-08,8.600000000000009,18.409999999999968
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,554.66,201.52,22.55,2024-01-12,2026-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],4432.97,1444.1,58.88,2024-01-03,2026-01-09,3.8899999999999935,72.88999999999987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1504.8,804.77,91.83,2021-01-12,2023-01-07,0.0,0.1599999999999681
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,564.05,72.58,14.08,2025-01-05,2027-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1637.29,728.91,89.01,2020-01-11,2022-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1479.72,878.21,99.5,2023-01-05,2025-01-05,0.0,0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,676.18,0.0,57.17,2024-01-08,2027-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1473.2,587.15,17.45,2025-01-01,2027-01-07,1.0399999999999991,0.1999999999999318
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1149.17,787.9,99.98,2022-01-01,2024-01-05,0.0,0.0599999999999454
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,705.83,0.0,42.09,2025-01-03,2027-01-03,3.3400000000000034,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,638.29,622.86,99.8,2019-01-11,2021-01-11,0.1400000000000005,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,1590.2,0.0,0.0,2026-01-05,2028-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HIMACHAL PRADESH, PUNJAB)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],571.34,66.37,25.73,2025-01-05,2027-01-05,-0.4499999999999993,-191.4
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1264.9,470.6,62.16,2023-01-12,2026-01-06,5.25,1.3600000000000136
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],784.14,318.13,44.37,2025-01-03,2027-01-03,1.5399999999999991,0.5500000000000114
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1000.27,417.06,54.67999999999999,2023-01-12,2026-01-06,3.759999999999991,0.9499999999999886
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,311.18,230.69,86.72999999999999,2021-01-11,2023-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1102.97,93.7,22.4,2025-01-08,2027-01-08,4.0,28.25
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1457.59,847.08,79.91,2023-01-12,2026-01-12,0.4500000000000028,53.40000000000009
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,286.72,186.64,100.0,2023-01-10,2025-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],775.94,21.22,9.18,2025-01-12,2027-01-12,-9.32,-21.75
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,746.76,417.02,79.23,2021-01-11,2024-01-11,2.760000000000005,6.740000000000009
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],153.61,73.59,38.0,2022-01-08,2025-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1338.61,0.0,12.45,2024-01-12,2027-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1377.51,425.91,42.76,2023-01-12,2026-01-06,0.5,31.25
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,477.86,330.1,84.87,2021-01-11,2023-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1081.15,0.0,30.8,2025-01-02,2027-01-08,2.0600000000000023,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1017.99,406.6,100.0,2023-01-12,2025-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,224.85,204.31,97.76,2020-01-06,2022-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1200.14,0.0,52.0,2018-01-05,2023-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,234.08,197.91,100.0,2021-01-06,2022-01-12,0.0,1.6200000000000043
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,202.36,94.2,45.55,2020-01-10,2022-01-04,0.029999999999994,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JHARKHAND, WEST BENGAL)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1652.4,749.49,97.4,2019-01-12,2022-01-08,0.0,0.2300000000000182
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,CHHATTISGARH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1002.33,781.21,98.75,2022-01-01,2024-01-01,0.0,0.3700000000000045
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,159.85,84.66,37.38,2023-01-06,2025-01-06,0.0,0.4399999999999977
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,277.44,192.83,69.82000000000001,2020-01-10,2022-01-10,0.0,0.3800000000000239
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,498.97,43.95,22.4,2024-01-10,2027-01-04,-2.6300000000000026,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,483.87,363.16,95.28,2021-01-09,2023-01-03,0.0,1.2000000000000457
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,232.29,16.22,25.61,2023-01-11,2026-01-11,0.0,3.7399999999999984
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],557.55,468.78,94.12,2022-01-02,2023-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,801.07,64.53,24.74,2025-01-09,2027-01-09,0.6099999999999994,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1425.98,69.44,10.3,2026-01-01,2028-01-01,-0.5999999999999996,-128.04
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TRIPURA,NHIDCL,920.66,0.0,43.8,2024-01-09,2026-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1077.46,774.78,92.0,2020-01-11,2022-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1534.7,313.15,19.78,2026-01-01,2027-01-12,-3.18,-342.68000000000006
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1703.48,980.97,53.81,2023-01-04,2026-01-04,-0.1899999999999977,0.1000000000000227
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,204.1,0.0,0.0,2023-01-01,2024-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],764.02,25.88,4.63,2025-01-11,2027-01-11,2.03,0.0599999999999987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,516.88,0.0,98.41,2023-01-11,2025-01-11,0.4500000000000028,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,625.64,0.0,0.0,2022-01-07,2024-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,673.27,508.53,83.6,2021-01-08,2023-01-08,0.6699999999999875,7.569999999999993
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1188.46,99.47,17.19,2025-01-11,2027-01-11,3.210000000000001,20.429999999999996
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,562.98,119.71,82.59,2023-01-09,2025-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,819.39,0.0,0.0,2017-01-09,2020-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,511.02,647.21,100.0,2019-01-11,2022-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1841.92,996.0,79.96,2023-01-09,2025-01-09,3.059999999999988,13.259999999999993
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,957.95,149.54,36.56,2025-01-01,2028-01-01,0.0,0.0300000000000011
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HIMACHAL PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1956.26,1265.52,63.17,2024-01-03,2027-01-03,0.0,29.36999999999989
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (UTTAR PRADESH, UTTARAKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],936.12,348.8,50.11,2024-01-03,2025-01-09,5.969999999999999,15.879999999999995
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,760.16,419.61,91.32,2023-01-12,2025-01-12,0.7999999999999972,5.230000000000018
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,292.23,0.0,0.0,2020-01-07,2022-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,504.76,308.08,95.2,2023-01-02,2025-01-02,0.2000000000000028,0.0199999999999818
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2006.82,919.25,49.64,2024-01-03,2026-01-03,2.1299999999999955,40.50999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,206.9,0.0,0.0,2020-01-07,2022-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,410.68,341.99,89.95,2022-01-11,2024-01-05,0.0,2.8500000000000227
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,523.78,394.29,95.31,2023-01-09,2025-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1431.36,190.78,10.08,2024-01-11,2026-01-11,0.0099999999999997,0.1999999999999886
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,579.63,381.11,85.89,2022-01-06,2023-01-12,1.0300000000000011,3.980000000000018
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2158.2,705.65,66.81,2024-01-05,2026-01-05,1.5999999999999943,11.220000000000027
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,467.0,571.25,86.33,2021-01-09,2023-01-03,0.0,2.5299999999999727
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],300.58,265.09,99.01,2021-01-11,2023-01-05,2.480000000000004,0.5499999999999545
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,458.59,236.85,85.15,2023-01-05,2025-01-05,1.7600000000000051,19.65000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,195.14,0.0,90.72,2025-01-03,2026-01-03,14.539999999999992,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,720.72,0.0,15.1,2025-01-10,2028-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,1319.55,0.0,14.6,2025-01-08,2027-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,365.53,187.39,87.28,2020-01-08,2022-01-08,2.1899999999999977,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1430.56,8.62,0.0,2026-01-03,2028-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],958.86,212.78,20.4,2024-01-11,2026-01-11,4.619999999999999,19.52000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,791.79,0.06,40.400000000000006,2025-01-02,2027-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,870.0,0.0,31.83,2025-01-03,2027-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],861.23,140.31,100.0,2008-01-01,2011-01-01,0.0,3.0200000000000102
